receipt_id,transaction_id,date_in,time_in,date_out,time_out,received_by,customer,num_pairs,num_released,branch,branch_loc,total,amount_paid,remaining_balance,payment_status,notes,misc_code
2025-001-VALEN,20250515-SMV-001,15-05-2025,08:35,2025/05/18,08:35 PM,Maria S.,Mark Anthony,3,1,Valenzuela Branch  ,Valenzuela City,1513.86,756.93,756.93,Partial,Check packaging,
2025-002-VALEN,20250515-SMV-002,15-05-2025,01:22,2025/05/15,08:22 AM,Alex R.,Christine Joy,2,1,Valenzuela Branch,Valenzuela City,3000.0,1500.0,1500.0,Partial,,
2025-003-VALEN,20250515-SMV-003,15-05-2025,02:38,2025/05/17,06:38 AM,Maria S.,Mark Anthony,4,3,Valenzuela Branch  ,Valenzuela City,2750.0,1375.0,1375.0,Partial,,
2025-004-SMVALZ,20250515-SMV-004,15-05-2025,02:46,2025/05/18,10:46 AM,Alex R.,Juan Dela Cruz,5,2,Valenzuela Branch,Valenzuela City,1850.0,925.0,925.0,Partial,,
2025-005-SMVALZ,20250515-SMV-005,15-05-2025,05:24,2025/05/16,10:24 PM,Alex R.,Juan Dela Cruz,2,2,Valenzuela Branch  ,Valenzuela City,746.34,373.17,373.17,Partial,,
2025-006-VALEN,20250515-SMV-006,15-05-2025,09:09,2025/05/16,09:09 PM,Maria S.,Mark Anthony,5,0,Valenzuela Branch,Valenzuela City,1150.0,575.0,575.0,Partial,,
2025-007-SMVALZ,20250515-SMV-007,15-05-2025,03:56,2025/05/17,07:56 AM,Liza M.,Pedro Santos,1,5,Valenzuela Branch  ,Valenzuela City,531.26,265.63,265.63,Partial,,
2025-001-SMGR,20250515-VAL-001,15-05-2025,02:34,2025/05/17,09:34 PM,Alex R.,Mark Anthony,5,2,VAL  ,,1400.0,700.0,700.0,Partial,,
2025-002-SMGRND,20250515-VAL-002,15-05-2025,02:08,2025/05/17,03:08 AM,Alex R.,Christine Joy,2,2,VAL,,717.06,358.53,358.53,Partial,,
2025-003-SMGRND,20250515-VAL-003,15-05-2025,05:09,2025/05/15,12:09 AM,John D.,Juan Dela Cruz,3,4,VAL,,575.0,287.5,287.5,Partial,,
2025-004-SMGRA,20250515-VAL-004,15-05-2025,01:39,2025/05/17,02:39 AM,Maria S.,Juan Dela Cruz,4,2,VAL,,652.26,326.13,326.13,Partial,Check packaging,
2025-005-SMGRND,20250515-VAL-005,15-05-2025,06:06,2025/05/16,01:06 AM,Liza M.,Pedro Santos,4,4,VAL,,1388.08,694.04,694.04,Partial,,8169.0
2025-006-SMGR,20250515-VAL-006,15-05-2025,08:43,2025/05/16,07:43 AM,John D.,Christine Joy,3,2,VAL,,2550.0,1275.0,1275.0,Partial,,
2025-007-SMGRND,20250515-VAL-007,15-05-2025,07:00,2025/05/17,10:00 PM,Maria S.,Juan Dela Cruz,5,3,VAL,,2600.0,1300.0,1300.0,Partial,,5909.0
2025-001-SMGRA,20250515-SMG-001,15-05-2025,06:19,2025/05/17,05:19 PM,Liza M.,Juan Dela Cruz,1,3,SM Grand Branch,SM Grand Central,325.0,162.5,162.5,Partial,,9368.0
2025-002-SMGR,20250515-SMG-002,15-05-2025,01:40,2025/05/17,04:40 PM,Maria S.,Pedro Santos,4,4,SM Grand Branch,SM Grand Central,3250.0,1625.0,1625.0,Partial,,
2025-003-SMGR,20250515-SMG-003,15-05-2025,08:45,2025/05/16,12:45 PM,Maria S.,Anna Mae,1,1,SM Grand Branch  ,SM Grand Central,1150.0,575.0,575.0,Partial,,
2025-004-SMGRND,20250515-SMG-004,15-05-2025,08:39,2025/05/17,02:39 PM,Alex R.,Christine Joy,4,0,SM Grand Branch,SM Grand Central,575.0,287.5,287.5,Partial,,
2025-005-SMGRA,20250515-SMG-005,15-05-2025,03:02,2025/05/17,07:02 AM,John D.,Christine Joy,4,0,SM Grand Branch,SM Grand Central,1025.0,512.5,512.5,Partial,,
2025-006-SMGR,20250515-SMG-006,15-05-2025,02:08,2025/05/17,05:08 PM,John D.,Juan Dela Cruz,3,3,SM Grand Branch,SM Grand Central,1875.0,937.5,937.5,Partial,,
2025-007-SMGR,20250515-SMG-007,15-05-2025,03:34,2025/05/17,10:34 PM,Alex R.,Anna Mae,3,2,SM Grand Branch,SM Grand Central,575.0,287.5,287.5,Partial,,
2025-001-SMVALZ,20250516-SMV-001,16-05-2025,09:36,2025/05/17,09:36 AM,Maria S.,Mark Anthony,4,2,Valenzuela Branch,Valenzuela City,1750.0,875.0,875.0,Partial,,
2025-002-VALEN,20250516-SMV-002,16-05-2025,00:41,2025/05/16,10:41 AM,Alex R.,Pedro Santos,5,0,Valenzuela Branch,Valenzuela City,575.0,287.5,287.5,Partial,,
2025-003-VALEN,20250516-SMV-003,16-05-2025,08:46,2025/05/19,10:46 AM,Liza M.,Christine Joy,3,4,Valenzuela Branch,Valenzuela City,743.58,371.79,371.79,Partial,,3490.0
2025-004-VALEN,20250516-SMV-004,16-05-2025,07:32,2025/05/19,05:32 PM,Alex R.,Christine Joy,4,2,Valenzuela Branch,Valenzuela City,2500.0,1250.0,1250.0,Partial,,
2025-005-SMVAL,20250516-SMV-005,16-05-2025,03:03,2025/05/17,07:03 PM,Liza M.,Anna Mae,4,0,Valenzuela Branch,Valenzuela City,1400.0,700.0,700.0,Partial,,
2025-006-SMVAL,20250516-SMV-006,16-05-2025,02:27,2025/05/16,10:27 PM,Maria S.,Mark Anthony,2,1,Valenzuela Branch,Valenzuela City,1150.0,575.0,575.0,Partial,,
2025-001-SMGRA,20250516-VAL-001,16-05-2025,02:32,2025/05/16,01:32 PM,Liza M.,Pedro Santos,3,5,VAL,,325.0,162.5,162.5,Partial,,2975.0
2025-002-SMGRND,20250516-VAL-002,16-05-2025,08:03,2025/05/18,06:03 PM,John D.,Juan Dela Cruz,1,2,VAL,,325.0,162.5,162.5,Partial,Check packaging,
2025-003-SMGRA,20250516-VAL-003,16-05-2025,08:48,2025/05/17,05:48 PM,Alex R.,Anna Mae,3,5,VAL  ,,2550.0,1275.0,1275.0,Partial,,
2025-004-SMGRND,20250516-VAL-004,16-05-2025,02:07,2025/05/18,03:07 PM,Maria S.,Mark Anthony,3,2,VAL,,325.0,162.5,162.5,Partial,,
2025-005-SMGR,20250516-VAL-005,16-05-2025,00:27,2025/05/18,09:27 PM,Alex R.,Juan Dela Cruz,3,3,VAL,,1600.0,800.0,800.0,Partial,,
2025-006-SMGRA,20250516-VAL-006,16-05-2025,09:41,2025/05/17,11:41 PM,Liza M.,Juan Dela Cruz,5,0,VAL,,1150.0,575.0,575.0,Partial,,
2025-001-SMGRND,20250516-SMG-001,16-05-2025,01:33,2025/05/17,04:33 AM,John D.,Anna Mae,4,3,SM Grand Branch,SM Grand Central,607.72,303.86,303.86,Partial,,
2025-002-SMGRND,20250516-SMG-002,16-05-2025,07:20,2025/05/17,05:20 AM,Maria S.,Anna Mae,3,2,SM Grand Branch,SM Grand Central,1175.0,587.5,587.5,Partial,,
2025-003-SMGRA,20250516-SMG-003,16-05-2025,05:14,2025/05/19,12:14 PM,Maria S.,Juan Dela Cruz,5,1,SM Grand Branch,SM Grand Central,1850.0,925.0,925.0,Partial,,
2025-004-SMGR,20250516-SMG-004,16-05-2025,04:08,2025/05/19,05:08 AM,John D.,Anna Mae,4,5,SM Grand Branch,SM Grand Central,450.0,225.0,225.0,Partial,,
2025-005-SMGRND,20250516-SMG-005,16-05-2025,02:58,2025/05/16,11:58 PM,Maria S.,Christine Joy,1,2,SM Grand Branch,SM Grand Central,1108.08,554.04,554.04,Partial,,
2025-006-SMGR,20250516-SMG-006,16-05-2025,04:51,2025/05/18,09:51 AM,Alex R.,Christine Joy,3,4,SM Grand Branch,SM Grand Central,1150.0,575.0,575.0,Partial,,
2025-001-SMVALZ,20250517-SMV-001,17-05-2025,04:51,2025/05/17,02:51 AM,Alex R.,Pedro Santos,1,5,Valenzuela Branch,Valenzuela City,3500.0,1750.0,1750.0,Partial,Check packaging,
2025-002-SMVALZ,20250517-SMV-002,17-05-2025,09:48,2025/05/19,12:48 AM,John D.,Pedro Santos,5,0,Valenzuela Branch,Valenzuela City,900.0,450.0,450.0,Partial,,1240.0
2025-003-SMVALZ,20250517-SMV-003,17-05-2025,00:16,2025/05/17,09:16 AM,Liza M.,Anna Mae,3,1,Valenzuela Branch,Valenzuela City,1100.0,550.0,550.0,Partial,,
2025-004-VALEN,20250517-SMV-004,17-05-2025,01:14,2025/05/20,12:14 PM,Alex R.,Pedro Santos,5,3,Valenzuela Branch,Valenzuela City,575.0,287.5,287.5,Partial,,9573.0
2025-005-VALEN,20250517-SMV-005,17-05-2025,06:11,2025/05/18,03:11 PM,John D.,Anna Mae,1,3,Valenzuela Branch,Valenzuela City,2076.04,1038.02,1038.02,Partial,,2030.0
2025-001-SMGR,20250517-VAL-001,17-05-2025,06:51,2025/05/17,11:51 PM,Maria S.,Juan Dela Cruz,3,5,VAL  ,,370.18,185.09,185.09,Partial,,
2025-002-SMGRA,20250517-VAL-002,17-05-2025,01:39,2025/05/18,01:39 PM,Alex R.,Anna Mae,5,0,VAL,,1050.0,525.0,525.0,Partial,,
2025-003-SMGRND,20250517-VAL-003,17-05-2025,06:22,2025/05/18,05:22 PM,Liza M.,Pedro Santos,4,4,VAL  ,,1025.0,512.5,512.5,Partial,,
